index,time,latitude,longitude,depth,mag,place
700,2021-05-31T04:20:49.211Z,26.7632,92.3186,34.13,4.2,"17 km WNW of Dhekiajuli, India"
702,2021-05-30T08:53:07.964Z,26.6343,92.326,52.85,4.4,"16 km WSW of Dhekiajuli, India"
708,2021-05-27T13:00:46.741Z,10.7126,91.5096,10.0,4.4,"171 km SW of Bamboo Flat, India"
714,2021-05-25T14:14:37.433Z,13.2087,92.8437,10.0,4.5,"167 km N of Bamboo Flat, India"
720,2021-05-24T03:49:09.973Z,11.7799,94.876,10.0,4.5,"232 km E of Port Blair, India"
721,2021-05-23T19:01:39.963Z,30.8764,79.2707,10.0,4.5,"45 km NW of Josh?math, India"
725,2021-05-23T01:26:40.871Z,24.7351,95.0955,103.92,4.4,"105 km E of W?ngjing, India"
766,2021-05-18T12:03:01.251Z,26.6713,92.4258,49.81,4.4,"6 km SW of Dhekiajuli, India"
770,2021-05-16T22:07:22.008Z,20.6607,71.4793,10.0,4.1,"41 km S of R?jula, India"
772,2021-05-15T03:03:56.663Z,26.753,92.4736,43.8,4.4,"5 km N of Dhekiajuli, India"
773,2021-05-14T23:39:52.005Z,26.418,95.5047,85.91,4.2,"56 km SE of Mon, India"
774,2021-05-14T16:42:04.988Z,24.9625,95.1088,111.38,4.5,"99 km SE of Phek, India"
776,2021-05-12T03:58:23.483Z,9.0163,92.2062,10.0,4.6,"299 km SSW of Port Blair, India"
777,2021-05-09T18:41:23.049Z,26.774,92.4738,10.0,3.8,"7 km N of Dhekiajuli, India"
778,2021-05-06T05:00:15.741Z,26.5945,92.4813,48.29,4.2,"12 km S of Dhekiajuli, India"
779,2021-05-05T13:52:12.421Z,26.7384,92.0993,47.0,4.0,"1 km S of Udalguri, India"
781,2021-05-03T10:41:09.136Z,25.8803,96.7988,55.36,4.2,"36 km S of Sarupathar, India"
785,2021-04-30T13:40:06.220Z,24.2389,94.513,95.31,4.3,"59 km SE of W?ngjing, India"
786,2021-04-28T19:50:53.770Z,26.7477,92.4849,38.21,4.8,"4 km N of Dhekiajuli, India"
787,2021-04-28T10:33:27.953Z,26.7662,92.5133,35.0,4.2,"7 km NNE of Dhekiajuli, India"
788,2021-04-28T02:43:20.811Z,26.8262,92.5371,35.0,4.4,"13 km W of Rang?p?ra, India"
789,2021-04-28T02:33:01.489Z,26.7489,92.5136,35.0,5.0,"6 km NE of Dhekiajuli, India"
790,2021-04-28T02:21:26.212Z,26.7813,92.4565,34.0,6.0,"8 km NNW of Dhekiajuli, India"
793,2021-04-21T19:45:11.093Z,10.4547,93.8204,10.0,4.3,"178 km SE of Port Blair, India"
794,2021-04-21T19:39:01.812Z,9.9295,93.1765,8.01,4.4,"197 km SSE of Port Blair, India"
795,2021-04-21T19:34:42.963Z,10.5902,94.2339,26.06,4.6,"201 km SE of Port Blair, India"
800,2021-04-15T22:26:24.010Z,32.4789,78.7499,10.0,4.6,"140 km NE of Sar?han, India"
801,2021-04-14T16:45:09.044Z,10.8839,91.5252,10.0,4.1,"158 km SW of Bamboo Flat, India"
811,2021-04-06T01:36:55.618Z,26.8176,88.7828,10.0,3.9,"15 km E of Odl?b?ri, India"
819,2021-03-29T08:24:59.963Z,10.9343,91.7787,10.0,4.6,"132 km SW of Bamboo Flat, India"
821,2021-03-26T19:02:07.885Z,27.6289,92.6692,29.81,5.0,"47 km NNE of Bomdila, India"
826,2021-03-22T15:40:44.570Z,28.2935,93.7808,10.0,4.6,"63 km WSW of Shi Yomi, India"
828,2021-03-21T12:22:37.682Z,26.6195,92.5148,10.0,4.2,"10 km SSE of Dhekiajuli, India"
835,2021-03-09T11:15:01.099Z,25.3809,95.0793,89.49,4.6,"66 km ESE of Phek, India"
837,2021-03-04T17:57:31.975Z,34.1448,80.3638,10.0,4.7,"256 km E of Leh, India"
848,2021-02-17T12:24:46.809Z,26.7322,92.5712,18.67,4.6,"9 km ENE of Dhekiajuli, India"
849,2021-02-16T20:36:52.158Z,11.9865,94.5033,10.0,4.7,"194 km E of Port Blair, India"
853,2021-02-09T01:50:07.207Z,28.0331,87.8568,35.0,4.3,"87 km NW of Mangan, India"
857,2021-02-03T14:29:49.946Z,34.26,78.2819,10.0,4.5,"65 km E of Leh, India"
861,2021-01-31T20:04:24.547Z,24.9512,94.4749,47.39,4.1,"52 km NE of Yairipok, India"
863,2021-01-27T18:56:21.382Z,26.293,95.7822,80.92,4.2,"83 km SSE of Khonsa, India"
864,2021-01-27T02:52:29.712Z,13.1762,92.5357,29.29,4.4,"164 km N of Bamboo Flat, India"
870,2021-01-17T06:59:48.217Z,26.0588,96.3433,10.0,4.3,"49 km WSW of Sarupathar, India"
872,2021-01-16T20:48:12.888Z,23.6359,93.5159,61.32,4.3,"48 km NE of Khawhai, India"
873,2021-01-13T19:15:33.854Z,24.8799,93.3739,10.0,4.2,"38 km ENE of Lakhipur, India"
875,2021-01-11T14:02:03.048Z,33.3042,75.5872,10.0,5.1,"16 km W of Kishtw?r, India"
877,2021-01-11T13:59:12.570Z,33.4274,75.7158,10.0,4.1,"13 km NNW of Kishtw?r, India"
878,2021-01-09T14:51:50.407Z,32.521,76.6552,22.64,4.5,"35 km W of Kyelang, India"
883,2020-12-26T21:48:15.074Z,27.3034,96.9396,10.0,4.5,"93 km SSE of Hayuliang, India"
886,2020-12-24T12:47:17.072Z,25.6158,96.657,10.0,4.3,"67 km SSW of Sarupathar, India"
887,2020-12-24T08:09:48.075Z,25.6397,96.6534,10.0,4.8,"64 km SSW of Sarupathar, India"
889,2020-12-23T11:06:53.791Z,27.4003,97.0395,49.94,4.2,"89 km SSE of Hayuliang, India"
891,2020-12-17T18:16:48.782Z,28.5188,77.2852,10.0,3.8,"5 km ENE of Deoli, India"
893,2020-12-10T16:56:47.765Z,26.1291,90.5453,10.0,4.3,"9 km WSW of Go?lp?ra, India"
894,2020-12-09T21:57:34.387Z,33.866,74.9266,10.0,4.2,"2 km ESE of Pulwama, India"
897,2020-12-06T14:39:13.789Z,21.8358,93.4233,52.56,4.6,"85 km SSE of Saiha, India"
898,2020-12-06T13:35:41.171Z,12.619,93.2653,62.26,4.6,"117 km NNE of Bamboo Flat, India"
905,2020-11-26T02:00:31.329Z,10.1668,93.6071,10.0,4.3,"190 km SSE of Port Blair, India"
910,2020-11-22T03:29:20.994Z,26.2945,94.7728,60.63,4.3,"5 km WNW of Tuensang, India"
911,2020-11-22T00:00:40.464Z,14.0029,92.5614,10.0,4.3,"255 km N of Bamboo Flat, India"
913,2020-11-21T20:15:03.902Z,22.1407,79.6342,10.0,4.3,"10 km NE of Seoni, India"
914,2020-11-21T04:49:33.478Z,24.9595,94.9967,10.0,4.5,"92 km SSE of Phek, India"
916,2020-11-17T03:28:22.737Z,13.7389,92.4013,10.0,4.3,"228 km N of Bamboo Flat, India"
924,2020-11-08T09:32:42.842Z,24.2021,94.1977,65.34,4.3,"39 km SE of Kakching, India"
925,2020-11-08T09:12:23.801Z,28.6287,96.3987,10.0,4.3,"63 km NNW of Hayuliang, India"
926,2020-11-07T10:09:22.561Z,21.5017,73.219,10.0,3.9,"27 km E of Kosamba, India"
927,2020-11-07T06:19:11.529Z,13.9453,92.9836,10.0,4.5,"250 km N of Bamboo Flat, India"
928,2020-11-06T22:59:17.399Z,33.5339,75.7388,10.0,4.6,"24 km N of Kishtw?r, India"
930,2020-11-02T19:43:17.105Z,25.7773,91.1728,10.0,4.5,"30 km NNW of Nongstoin, India"
932,2020-10-31T16:59:40.590Z,34.1948,78.1585,10.0,4.5,"53 km E of Leh, India"
938,2020-10-20T19:55:49.959Z,27.2257,96.1444,57.98,4.0,"47 km E of Margherita, India"
947,2020-10-10T17:38:00.765Z,24.6661,93.4997,53.0,5.5,"33 km WNW of Moir?ng, India"
949,2020-10-07T16:18:08.290Z,32.3518,80.5666,10.0,4.4,"220 km NNE of Josh?math, India"
951,2020-10-06T22:02:54.378Z,25.643,94.7776,61.51,4.6,"27 km E of Phek, India"
952,2020-10-06T06:13:39.363Z,34.0992,79.1272,10.0,4.7,"142 km E of Leh, India"
953,2020-10-05T23:43:20.846Z,34.1788,79.2141,10.0,5.0,"150 km E of Leh, India"
956,2020-10-03T15:36:17.754Z,26.2024,91.3108,44.3,4.2,"21 km WSW of H?jo, India"
957,2020-09-30T13:44:06.357Z,12.2219,93.7095,75.77,4.4,"121 km ENE of Port Blair, India"
959,2020-09-28T05:12:34.992Z,33.229,75.8586,10.0,4.6,"12 km SE of Kishtw?r, India"
960,2020-09-27T17:27:42.182Z,34.1448,78.1519,10.0,5.0,"52 km E of Leh, India"
961,2020-09-26T06:32:00.651Z,34.7214,74.4055,10.0,4.6,"40 km NNW of Bandipura, India"
963,2020-09-25T18:14:35.455Z,34.0161,78.1669,10.0,3.8,"56 km ESE of Leh, India"
964,2020-09-25T10:57:13.221Z,34.2487,78.2058,10.0,5.3,"58 km E of Leh, India"
967,2020-09-22T16:10:29.177Z,34.0837,74.7947,10.0,4.4,"1 km WSW of Srinagar, India"
969,2020-09-22T03:46:51.500Z,35.7041,77.8313,62.17,4.1,"127 km NE of Thang, India"
970,2020-09-21T19:58:34.584Z,26.2803,91.3167,39.62,4.4,"21 km W of H?jo, India"
982,2020-09-07T21:37:50.432Z,13.1472,93.1904,41.16,4.7,"168 km NNE of Bamboo Flat, India"
984,2020-09-06T11:36:45.677Z,14.0641,93.0643,10.0,4.1,"264 km N of Bamboo Flat, India"
988,2020-08-31T21:09:33.636Z,24.8788,95.2425,123.46,4.9,"114 km SE of Phek, India"
994,2020-08-27T13:17:20.608Z,23.0656,93.2324,10.0,4.5,"18 km ESE of North Vanlaiphai, India"
995,2020-08-27T12:07:15.628Z,23.1636,93.3258,10.0,5.3,"26 km E of North Vanlaiphai, India"
996,2020-08-26T02:24:03.662Z,23.965,88.4834,10.0,4.0,"13 km W of Kar?mpur, India"
1001,2020-08-23T13:18:15.229Z,26.0998,95.5832,86.9,4.6,"78 km ESE of Tuensang, India"
1004,2020-08-19T20:53:04.563Z,9.5672,93.3607,71.13,4.9,"241 km SSE of Port Blair, India"
1005,2020-08-17T16:31:52.303Z,30.3829,94.7798,10.0,4.8,"209 km N of Shi Yomi, India"
1007,2020-08-16T16:40:40.467Z,30.3546,94.8125,10.0,4.8,"206 km NNE of Shi Yomi, India"
1008,2020-08-14T12:58:40.661Z,30.3765,94.826,10.0,4.8,"209 km NNE of Shi Yomi, India"
1009,2020-08-14T01:08:08.090Z,23.1226,93.2923,10.0,4.2,"23 km E of North Vanlaiphai, India"
1010,2020-08-13T05:22:46.641Z,30.3141,94.7804,10.0,4.4,"201 km NNE of Shi Yomi, India"
1011,2020-08-13T04:27:59.201Z,30.4144,94.7198,10.0,4.9,"211 km N of Shi Yomi, India"
1012,2020-08-12T15:58:08.257Z,29.8985,95.1615,10.0,4.8,"169 km NNE of Shi Yomi, India"
1013,2020-08-11T22:48:31.686Z,30.388,94.8111,10.0,4.1,"210 km NNE of Shi Yomi, India"
1014,2020-08-11T21:27:28.697Z,30.3255,94.7921,10.0,4.4,"203 km NNE of Shi Yomi, India"
1015,2020-08-11T18:14:16.424Z,30.3544,94.742,10.0,4.9,"205 km N of Shi Yomi, India"
1017,2020-08-11T13:57:53.226Z,24.2129,93.9507,59.16,4.3,"31 km ESE of Chur?ch?ndpur, India"
1018,2020-08-09T17:13:33.298Z,30.4464,94.9345,10.0,4.9,"219 km NNE of Shi Yomi, India"
1019,2020-08-09T08:50:13.554Z,30.3605,94.7737,10.0,4.8,"206 km N of Shi Yomi, India"
1020,2020-08-08T08:44:00.894Z,30.4109,94.7817,10.0,4.9,"212 km N of Shi Yomi, India"
1021,2020-08-07T17:36:20.411Z,24.5305,94.8553,103.06,4.3,"80 km E of W?ngjing, India"
1027,2020-07-31T18:58:48.847Z,30.3574,94.7728,10.0,4.2,"206 km N of Shi Yomi, India"
1029,2020-07-31T16:45:09.922Z,30.4288,94.841,10.0,4.9,"215 km NNE of Shi Yomi, India"
1031,2020-07-31T06:10:06.917Z,30.3418,95.04,10.0,4.3,"210 km NNE of Shi Yomi, India"
1033,2020-07-30T18:38:38.999Z,30.386,94.7527,10.0,4.8,"208 km N of Shi Yomi, India"
1034,2020-07-30T13:35:44.774Z,29.8667,95.1399,10.0,4.1,"165 km NNE of Shi Yomi, India"
1035,2020-07-29T20:54:26.858Z,28.4107,88.3259,10.0,4.1,"101 km N of Mangan, India"
1036,2020-07-29T17:27:54.128Z,30.3366,94.7909,10.0,4.9,"204 km NNE of Shi Yomi, India"
1037,2020-07-29T11:07:12.675Z,30.3811,94.7738,10.0,4.8,"208 km N of Shi Yomi, India"
1038,2020-07-28T14:38:49.984Z,23.2575,93.3418,10.0,4.8,"25 km ESE of Khawhai, India"
1040,2020-07-28T03:32:49.179Z,30.3956,94.7098,10.0,4.8,"209 km N of Shi Yomi, India"
1041,2020-07-27T05:50:20.443Z,30.4061,94.8218,10.0,4.9,"212 km NNE of Shi Yomi, India"
1042,2020-07-26T09:58:58.149Z,30.389,94.806,10.0,4.7,"210 km NNE of Shi Yomi, India"
1043,2020-07-25T15:58:37.391Z,30.3757,94.8368,10.0,4.8,"209 km NNE of Shi Yomi, India"
1045,2020-07-24T13:34:24.853Z,30.3884,94.8313,10.0,4.9,"210 km NNE of Shi Yomi, India"
1047,2020-07-24T05:45:56.764Z,23.069,93.3699,10.0,4.1,"31 km ESE of North Vanlaiphai, India"
1052,2020-07-23T00:47:43.907Z,30.3844,94.7159,10.0,4.9,"208 km N of Shi Yomi, India"
1060,2020-07-22T01:02:22.347Z,30.3195,94.717,10.0,4.1,"201 km N of Shi Yomi, India"
1061,2020-07-21T13:26:18.351Z,30.404,94.7716,10.0,4.5,"211 km N of Shi Yomi, India"
1062,2020-07-21T06:18:48.950Z,30.4304,94.8312,10.0,4.9,"215 km NNE of Shi Yomi, India"
1063,2020-07-21T02:15:19.576Z,30.1907,94.7613,10.0,4.4,"187 km NNE of Shi Yomi, India"
1065,2020-07-21T01:17:08.217Z,30.4135,94.779,10.0,4.0,"212 km N of Shi Yomi, India"
1066,2020-07-20T22:52:49.020Z,12.1567,94.9118,10.0,4.5,"242 km ENE of Port Blair, India"
1067,2020-07-20T19:21:39.541Z,30.4051,94.862,10.0,4.9,"213 km NNE of Shi Yomi, India"
1068,2020-07-20T15:19:53.864Z,30.3816,95.0064,10.0,4.0,"214 km NNE of Shi Yomi, India"
1071,2020-07-19T23:36:38.799Z,30.4109,94.8431,10.0,4.9,"213 km NNE of Shi Yomi, India"
1072,2020-07-19T10:15:47.711Z,30.412,94.8613,10.0,5.0,"213 km NNE of Shi Yomi, India"
1075,2020-07-17T22:55:38.710Z,24.6057,92.3782,39.89,4.3,"20 km WSW of Hail?k?ndi, India"
1076,2020-07-17T18:32:58.716Z,12.0979,94.9745,5.07,5.7,"247 km E of Port Blair, India"
1078,2020-07-17T17:45:24.045Z,12.0447,95.1004,10.0,4.8,"259 km E of Port Blair, India"
1079,2020-07-17T16:33:53.474Z,23.1162,93.3092,10.0,5.1,"25 km E of North Vanlaiphai, India"
1080,2020-07-17T14:43:17.244Z,11.8485,94.8316,10.0,5.0,"228 km E of Port Blair, India"
1081,2020-07-17T14:03:40.437Z,11.8485,94.9362,10.0,6.1,"239 km E of Port Blair, India"
1082,2020-07-17T13:29:04.589Z,11.8395,94.9771,10.0,5.1,"243 km E of Port Blair, India"
1083,2020-07-17T10:26:38.892Z,23.1172,93.3785,10.0,4.4,"32 km E of North Vanlaiphai, India"
1084,2020-07-17T05:37:17.788Z,11.8654,95.0388,10.0,4.6,"250 km E of Port Blair, India"
1085,2020-07-17T05:01:13.351Z,11.6984,95.0094,10.0,4.8,"246 km E of Port Blair, India"
1086,2020-07-16T02:27:38.675Z,24.6068,92.3957,39.62,4.4,"18 km WSW of Hail?k?ndi, India"
1087,2020-07-16T02:10:29.094Z,22.2558,70.9928,10.0,4.1,"20 km E of R?jkot, India"
1088,2020-07-16T01:21:55.852Z,24.606,94.8877,30.68,4.4,"83 km E of W?ngjing, India"
1093,2020-07-12T21:06:47.720Z,14.3503,92.992,10.0,4.6,"294 km N of Bamboo Flat, India"
1096,2020-07-09T08:58:12.692Z,23.0831,93.3665,10.0,4.6,"31 km E of North Vanlaiphai, India"
1097,2020-07-07T23:49:28.057Z,12.9785,92.4828,10.0,4.6,"143 km N of Bamboo Flat, India"
1101,2020-07-05T11:56:34.519Z,23.1732,93.2967,10.0,4.8,"24 km E of North Vanlaiphai, India"
1103,2020-07-03T13:30:49.114Z,28.142,76.5366,30.38,4.3,"9 km NNW of B?wal, India"
1104,2020-07-03T09:05:43.564Z,23.2815,93.3716,10.0,4.6,"27 km ESE of Khawhai, India"
1105,2020-07-02T07:40:37.191Z,32.998,75.9509,10.0,4.6,"21 km E of Bhadarw?h, India"
1106,2020-06-30T18:02:28.856Z,33.1193,75.8744,43.89,4.7,"21 km NE of Bhadarw?h, India"
1107,2020-06-30T03:26:58.130Z,33.195,75.926,46.75,4.2,"19 km SE of Kishtw?r, India"
1108,2020-06-28T05:54:36.251Z,24.6766,94.5933,57.96,4.4,"54 km E of W?ngjing, India"
1109,2020-06-28T03:26:21.339Z,12.9095,92.6873,10.0,4.2,"133 km N of Bamboo Flat, India"
1120,2020-06-24T19:44:43.473Z,23.1939,93.2827,4.24,4.8,"23 km ENE of North Vanlaiphai, India"
1122,2020-06-24T02:32:33.683Z,23.206,93.2628,4.58,4.5,"21 km ENE of North Vanlaiphai, India"
1123,2020-06-23T13:47:32.941Z,23.9312,93.0128,10.0,3.6,"12 km SE of Darlawn, India"
1124,2020-06-21T22:40:52.633Z,23.1449,93.2856,10.84,5.6,"22 km E of North Vanlaiphai, India"
1125,2020-06-21T10:46:25.514Z,23.9075,93.1135,41.6,4.9,"22 km ESE of Darlawn, India"
1133,2020-06-15T07:27:35.084Z,22.9861,70.2272,10.0,3.8,"5 km SSE of K?ndla, India"
1134,2020-06-14T14:43:08.390Z,23.3821,70.3548,10.0,5.1,"9 km N of Bhach?u, India"
1136,2020-06-14T02:39:43.149Z,26.6545,97.0594,10.0,4.8,"55 km NNE of Sarupathar, India"
1138,2020-06-11T10:48:34.653Z,10.2409,93.6808,10.0,4.6,"187 km SSE of Port Blair, India"
1139,2020-06-09T20:47:32.885Z,14.151,91.6101,10.0,4.6,"296 km NNW of Bamboo Flat, India"
1145,2020-05-31T13:03:58.927Z,10.8899,92.5217,8.42,4.7,"89 km SSW of Port Blair, India"
1146,2020-05-30T23:12:23.543Z,12.6084,93.2388,59.16,4.4,"115 km NNE of Bamboo Flat, India"
1148,2020-05-29T15:38:41.657Z,29.1724,77.0219,10.0,4.2,"Uttar Pradesh, India"
1149,2020-05-29T00:30:29.301Z,11.7257,92.3273,10.0,4.5,"42 km W of Bamboo Flat, India"
1150,2020-05-28T08:05:58.316Z,32.5421,79.491,10.0,4.4,"196 km NE of Sar?han, India"
1152,2020-05-25T14:42:17.395Z,24.3856,93.9197,57.89,5.1,"13 km SSW of Kakching, India"
1157,2020-05-22T19:43:08.261Z,11.3192,93.5383,103.13,4.3,"94 km ESE of Port Blair, India"
1162,2020-05-17T05:22:09.081Z,29.9346,94.9732,10.0,4.6,"166 km NNE of Shi Yomi, India"
1165,2020-05-11T22:39:35.471Z,24.8084,94.1112,63.54,4.6,"15 km NNE of Yairipok, India"
1166,2020-05-10T08:15:27.178Z,28.7268,77.3516,10.0,3.7,"6 km ESE of Loni, India"
1167,2020-05-09T10:06:46.736Z,22.1166,68.963,10.0,4.1,"13 km S of Dw?rka, India"
1173,2020-04-27T19:54:31.054Z,12.1157,92.936,32.59,4.4,"51 km NNE of Bamboo Flat, India"
1180,2020-04-21T00:09:10.636Z,9.3687,92.9668,48.51,4.8,"255 km S of Port Blair, India"
1183,2020-04-17T10:59:11.292Z,28.1205,93.9189,10.0,4.1,"58 km N of Ziro, India"
1188,2020-04-13T17:34:03.942Z,12.0153,92.9576,38.0,4.3,"43 km NE of Bamboo Flat, India"
1189,2020-04-12T12:15:02.191Z,28.8336,77.3589,10.0,3.8,"Haryana-Delhi-Uttar Pradesh region, India"
1192,2020-04-08T05:53:57.175Z,23.4203,86.989,10.0,4.0,"22 km NNW of B?nkura, India"
1193,2020-04-07T10:39:02.233Z,29.2723,95.1896,10.0,4.4,"114 km NE of Shi Yomi, India"
1194,2020-04-05T17:50:30.477Z,26.4085,92.7724,46.31,4.5,"25 km S of Tezpur, India"
1198,2020-04-02T17:35:31.963Z,26.1416,97.037,10.0,4.2,"23 km ESE of Sarupathar, India"
1201,2020-03-29T18:17:45.513Z,32.9731,76.4202,10.0,4.3,"53 km NNE of Chamba, India"
1202,2020-03-27T11:46:58.989Z,32.697,76.144,10.0,4.5,"15 km N of Chamba, India"
1208,2020-03-23T08:08:12.704Z,25.0857,95.0671,101.49,4.5,"86 km SE of Phek, India"
1217,2020-03-11T14:19:31.898Z,32.568,78.4627,10.0,4.0,"125 km ENE of Man?li, India"
1224,2020-03-05T06:59:54.541Z,25.8362,96.7751,10.0,4.5,"41 km S of Sarupathar, India"
1228,2020-02-29T20:05:26.893Z,26.4904,92.1052,45.39,4.2,"5 km SW of Kh?rupatia, India"
1229,2020-02-28T11:07:11.020Z,32.9646,76.3114,10.0,4.2,"48 km NNE of Chamba, India"
1231,2020-02-26T15:04:08.953Z,32.9752,76.2474,10.0,5.0,"47 km NNE of Chamba, India"
1239,2020-02-12T19:17:55.089Z,10.5177,94.0622,10.0,4.3,"191 km SE of Port Blair, India"
1243,2020-02-10T18:20:09.252Z,13.1329,93.2938,39.6,4.9,"170 km NNE of Bamboo Flat, India"
1246,2020-02-09T08:48:50.639Z,12.8396,92.6303,10.0,4.4,"126 km N of Bamboo Flat, India"
1247,2020-02-08T12:47:01.887Z,26.3386,90.7847,10.0,5.0,"10 km E of Abhay?puri, India"
1248,2020-02-08T01:01:46.831Z,30.0278,79.9831,18.78,4.7,"29 km NE of B?geshwar, India"
1249,2020-02-07T11:00:40.151Z,11.1225,93.5904,129.96,4.4,"110 km ESE of Port Blair, India"
1254,2020-02-01T09:43:55.801Z,28.9807,95.7207,10.0,4.9,"108 km NNE of P?sigh?t, India"
1258,2020-01-29T15:10:53.203Z,10.3105,93.7827,10.0,5.0,"187 km SE of Port Blair, India"
1259,2020-01-29T13:43:05.740Z,24.4383,94.9928,115.32,4.3,"95 km E of W?ngjing, India"
1264,2020-01-25T21:07:34.332Z,16.6775,79.8979,10.0,4.5,"32 km SW of Jaggayyapeta, India"
1276,2020-01-12T05:23:56.526Z,35.0149,74.474,10.0,5.1,"68 km NNW of Bandipura, India"
1292,2019-12-30T00:52:30.193Z,35.8128,77.6114,10.0,4.1,"123 km NE of Thang, India"
1296,2019-12-19T22:16:20.980Z,34.6953,79.7421,10.0,4.5,"206 km ENE of Leh, India"
1301,2019-12-16T03:10:30.166Z,24.0847,93.875,55.37,4.4,"34 km SE of Chur?ch?ndpur, India"
1302,2019-12-15T03:53:33.034Z,24.9171,95.0882,110.85,4.4,"101 km SE of Phek, India"
1303,2019-12-13T23:52:40.214Z,20.0829,73.1729,10.0,4.3,"19 km NNW of Jawh?r, India"
1306,2019-12-10T03:51:46.613Z,12.2739,95.2155,10.0,4.4,"277 km ENE of Port Blair, India"
1312,2019-11-29T17:50:18.088Z,13.692,93.3959,49.27,4.9,"232 km NNE of Bamboo Flat, India"
1316,2019-11-27T10:07:13.425Z,14.2308,93.0511,10.0,4.5,"282 km N of Bamboo Flat, India"
1317,2019-11-27T00:18:32.422Z,28.1658,87.8728,64.65,4.4,"96 km NW of Mangan, India"
1320,2019-11-26T03:53:46.675Z,24.155,94.3136,70.19,4.5,"50 km SE of Kakching, India"
1324,2019-11-21T14:11:09.692Z,26.145,91.1372,48.16,4.3,"23 km SSE of Barpeta, India"
1325,2019-11-20T14:06:55.919Z,10.9867,95.1124,10.0,4.6,"269 km ESE of Port Blair, India"
1332,2019-11-18T13:31:08.384Z,23.5799,70.4585,10.0,4.6,"19 km W of R?par, India"
1333,2019-11-17T23:05:55.674Z,11.2863,92.9571,53.39,5.1,"47 km SSE of Port Blair, India"
1339,2019-11-13T13:10:54.879Z,26.1728,93.3051,51.25,4.7,"38 km NNW of Diphu, India"
1342,2019-11-12T02:00:26.426Z,30.0659,80.2927,10.0,4.3,"32 km NW of Dh?rchula, India"
1357,2019-10-13T05:06:33.866Z,28.1573,73.1834,14.98,4.0,"20 km NW of B?kaner, India"
1360,2019-10-12T06:50:56.055Z,13.3676,93.5713,63.94,4.4,"206 km NNE of Bamboo Flat, India"
1366,2019-10-03T06:24:43.382Z,24.8695,94.1024,59.2,4.8,"17 km ENE of Imph?l, India"
1368,2019-09-29T09:02:11.934Z,10.9759,91.65,10.0,4.7,"141 km SW of Bamboo Flat, India"
1371,2019-09-26T19:32:00.160Z,10.9418,91.7174,10.0,4.2,"137 km SW of Bamboo Flat, India"
1372,2019-09-26T19:15:33.160Z,10.8407,91.6606,10.0,4.7,"149 km SW of Bamboo Flat, India"
1378,2019-09-23T09:36:26.024Z,29.4512,95.0638,10.0,4.3,"122 km NNE of Shi Yomi, India"
1380,2019-09-22T02:31:24.605Z,24.2307,93.6361,63.66,4.4,"11 km SSW of Chur?ch?ndpur, India"
1381,2019-09-16T18:49:44.136Z,14.0514,93.5854,35.0,4.0,"276 km NNE of Bamboo Flat, India"
1386,2019-09-09T06:40:33.517Z,32.9804,76.181,43.93,4.9,"43 km E of Bhadarw?h, India"
1387,2019-09-08T02:34:32.435Z,33.0736,76.1758,10.0,4.8,"44 km ENE of Bhadarw?h, India"
1389,2019-09-03T19:18:39.698Z,25.0899,95.0419,88.22,4.5,"84 km SE of Phek, India"
1394,2019-08-28T13:40:06.063Z,13.092,93.2507,47.93,4.9,"164 km NNE of Bamboo Flat, India"
1396,2019-08-26T02:49:16.737Z,26.4642,96.1069,105.63,4.7,"75 km WNW of Sarupathar, India"
1400,2019-08-21T09:19:12.149Z,9.1171,93.5712,10.0,4.9,"296 km SSE of Port Blair, India"
1401,2019-08-20T01:08:53.855Z,30.4025,94.7951,10.0,4.6,"211 km NNE of Shi Yomi, India"
1403,2019-08-18T06:28:34.730Z,24.0196,93.858,63.38,5.0,"39 km SSE of Chur?ch?ndpur, India"
1406,2019-08-15T05:42:53.633Z,30.4473,94.8662,35.92,4.5,"217 km NNE of Shi Yomi, India"
1407,2019-08-14T23:47:03.718Z,30.3683,94.8628,10.0,4.9,"209 km NNE of Shi Yomi, India"
1409,2019-08-14T08:13:54.632Z,30.4829,94.83,10.0,4.9,"220 km NNE of Shi Yomi, India"
1412,2019-08-12T03:32:29.358Z,30.4088,94.7964,10.0,4.8,"212 km NNE of Shi Yomi, India"
1413,2019-08-12T03:06:16.223Z,30.3508,94.7872,10.0,4.3,"205 km NNE of Shi Yomi, India"
1414,2019-08-11T11:08:00.620Z,30.4138,94.8662,10.0,4.6,"214 km NNE of Shi Yomi, India"
1415,2019-08-11T02:13:26.332Z,30.3447,94.8731,10.0,5.0,"206 km NNE of Shi Yomi, India"
1417,2019-08-05T09:43:03.209Z,25.6762,96.6433,10.0,4.7,"61 km SSW of Sarupathar, India"
1418,2019-08-04T01:26:14.607Z,11.9126,95.0085,10.0,5.0,"248 km E of Port Blair, India"
1419,2019-08-04T00:10:32.307Z,24.7977,94.315,48.6,4.0,"30 km ENE of Yairipok, India"
1422,2019-08-01T00:43:18.690Z,14.1694,93.4565,10.0,4.5,"284 km NNE of Bamboo Flat, India"
1424,2019-07-29T03:33:52.069Z,32.8856,76.7183,10.0,4.4,"45 km NW of Kyelang, India"
1425,2019-07-28T21:25:03.314Z,22.5443,86.4405,10.0,4.5,"4 km NNW of Mush?bani, India"
1428,2019-07-24T19:33:09.919Z,19.578,72.508,10.0,4.1,"25 km WSW of Shirgaon, India"
