index,time,latitude,longitude,depth,mag,place
219,2022-07-05T14:50:19.975Z,10.553,94.1619,10.0,4.9,"197 km SE of Port Blair, India"
220,2022-07-05T13:16:44.407Z,10.3995,94.1516,10.0,4.2,"207 km SE of Port Blair, India"
222,2022-07-05T10:24:13.165Z,10.4254,94.1424,10.0,4.2,"205 km SE of Port Blair, India"
224,2022-07-05T09:44:02.616Z,10.2992,94.3324,10.0,4.7,"230 km SE of Port Blair, India"
225,2022-07-05T08:19:07.720Z,10.3821,94.0983,10.0,4.3,"204 km SE of Port Blair, India"
226,2022-07-05T07:48:33.145Z,10.2608,94.1562,10.0,4.8,"218 km SE of Port Blair, India"
227,2022-07-05T06:46:45.203Z,10.3286,94.1991,10.0,4.3,"217 km SE of Port Blair, India"
228,2022-07-05T06:06:13.690Z,10.2666,94.2833,10.0,5.0,"228 km SE of Port Blair, India"
229,2022-07-05T03:21:57.190Z,10.4449,93.87,10.0,4.3,"182 km SE of Port Blair, India"
230,2022-07-05T02:34:57.675Z,10.3288,94.0598,10.0,4.9,"206 km SE of Port Blair, India"
231,2022-07-05T01:10:46.372Z,10.2316,94.0501,10.0,4.2,"213 km SE of Port Blair, India"
233,2022-07-05T00:10:04.562Z,10.2778,93.8421,10.0,4.5,"194 km SE of Port Blair, India"
234,2022-07-04T23:38:46.553Z,10.4198,94.0743,10.0,4.5,"200 km SE of Port Blair, India"
235,2022-07-04T23:15:13.225Z,10.2329,94.2382,10.0,4.6,"227 km SE of Port Blair, India"
236,2022-07-04T21:59:01.988Z,10.4627,94.1965,10.0,4.2,"206 km SE of Port Blair, India"
237,2022-07-04T21:24:41.456Z,10.3032,94.1408,10.0,4.9,"214 km SE of Port Blair, India"
238,2022-07-04T21:18:26.125Z,10.4048,94.2584,10.0,4.4,"216 km SE of Port Blair, India"
239,2022-07-04T21:03:56.176Z,10.3526,94.2481,10.0,4.9,"219 km SE of Port Blair, India"
243,2022-07-04T20:00:39.497Z,10.4646,94.4605,10.0,4.6,"229 km SE of Port Blair, India"
244,2022-07-04T19:36:57.000Z,10.2638,93.9224,10.0,5.0,"201 km SE of Port Blair, India"
245,2022-07-04T19:16:36.014Z,10.3725,93.6866,10.0,4.6,"176 km SE of Port Blair, India"
246,2022-07-04T18:33:26.316Z,10.1636,94.1024,10.0,4.2,"222 km SE of Port Blair, India"
247,2022-07-04T18:07:44.228Z,10.4137,94.2287,10.0,4.7,"213 km SE of Port Blair, India"
249,2022-07-04T18:03:50.250Z,10.4139,94.2442,10.0,4.1,"214 km SE of Port Blair, India"
250,2022-07-04T17:31:21.363Z,10.4304,94.2504,10.0,4.9,"213 km SE of Port Blair, India"
251,2022-07-04T15:13:07.749Z,10.3736,94.244,10.0,4.2,"217 km SE of Port Blair, India"
252,2022-07-04T15:03:43.220Z,10.3123,94.1286,10.0,4.4,"212 km SE of Port Blair, India"
253,2022-07-04T14:19:39.150Z,9.9627,94.1363,10.0,4.5,"242 km SE of Port Blair, India"
256,2022-07-04T12:56:53.028Z,10.4368,94.1791,10.0,4.3,"207 km SE of Port Blair, India"
257,2022-07-04T12:51:33.584Z,10.2341,94.2256,10.0,4.5,"226 km SE of Port Blair, India"
258,2022-07-04T12:20:35.476Z,10.1412,94.2325,10.0,4.6,"234 km SE of Port Blair, India"
259,2022-07-04T11:48:11.309Z,10.3944,94.2851,10.0,5.0,"219 km SE of Port Blair, India"
260,2022-07-04T11:15:37.887Z,10.4407,94.2815,10.0,4.1,"215 km SE of Port Blair, India"
263,2022-07-04T09:46:49.717Z,10.4254,94.2342,10.0,4.5,"212 km SE of Port Blair, India"
264,2022-07-04T09:32:33.341Z,10.3642,94.1744,10.0,4.7,"212 km SE of Port Blair, India"
265,2022-07-04T09:11:06.457Z,10.2576,93.8591,10.0,4.3,"197 km SE of Port Blair, India"
266,2022-07-04T09:07:03.697Z,10.3072,94.1437,10.0,5.0,"214 km SE of Port Blair, India"
267,2022-07-04T08:54:19.874Z,10.5491,93.9883,10.0,4.2,"183 km SE of Port Blair, India"
268,2022-07-04T08:53:26.096Z,10.3254,94.0101,10.0,4.3,"202 km SE of Port Blair, India"
269,2022-07-04T08:46:51.549Z,10.1855,94.0655,10.0,4.3,"218 km SE of Port Blair, India"
270,2022-07-04T08:40:50.995Z,10.298,94.1393,10.0,4.1,"214 km SE of Port Blair, India"
271,2022-07-04T08:36:19.007Z,10.4305,94.1413,10.0,5.1,"204 km SE of Port Blair, India"
272,2022-07-04T08:31:12.958Z,10.3129,94.1035,10.0,4.5,"210 km SE of Port Blair, India"
273,2022-07-04T08:25:27.023Z,10.2936,94.2046,10.0,4.4,"220 km SE of Port Blair, India"
274,2022-07-04T08:02:38.928Z,10.3181,94.033,10.0,4.8,"204 km SE of Port Blair, India"
275,2022-07-04T08:01:24.837Z,10.3636,93.9764,10.0,4.2,"197 km SE of Port Blair, India"
276,2022-07-04T07:29:30.021Z,10.4776,94.1576,10.0,4.3,"202 km SE of Port Blair, India"
277,2022-07-04T07:21:12.801Z,10.4084,94.175,10.0,4.3,"209 km SE of Port Blair, India"
278,2022-07-04T06:17:45.344Z,10.5715,94.5486,10.0,4.2,"231 km ESE of Port Blair, India"
280,2022-07-04T05:35:51.743Z,10.3658,94.0742,10.0,4.7,"204 km SE of Port Blair, India"
281,2022-07-04T05:04:49.855Z,10.3683,94.071,10.0,4.1,"203 km SE of Port Blair, India"
287,2022-06-27T22:49:50.675Z,28.8231,76.6692,10.0,3.7,"11 km SE of Rohtak, India"
291,2022-06-22T14:25:32.357Z,10.5852,91.6122,10.0,4.6,"172 km SW of Port Blair, India"
294,2022-06-21T01:45:48.714Z,10.576,91.58,10.0,4.2,"175 km SW of Port Blair, India"
300,2022-06-08T09:25:29.205Z,35.9367,77.9967,10.0,4.4,"156 km NE of Thang, India"
309,2022-05-31T04:39:39.616Z,26.3635,95.6051,95.69,4.3,"68 km SE of Mon, India"
312,2022-05-27T02:20:15.367Z,12.9434,93.4548,77.17,4.5,"159 km NNE of Bamboo Flat, India"
324,2022-05-15T16:17:04.821Z,26.3342,92.3725,10.0,4.1,"9 km NNE of Morigaon, India"
326,2022-05-13T07:09:28.657Z,25.7111,96.8176,10.0,4.4,"54 km S of Sarupathar, India"
327,2022-05-13T06:13:55.734Z,25.6938,96.8329,10.0,4.3,"56 km S of Sarupathar, India"
328,2022-05-13T02:16:42.668Z,32.7165,76.2415,10.0,4.6,"20 km NNE of Chamba, India"
331,2022-05-11T04:33:11.628Z,29.9682,80.4219,33.06,4.9,"16 km NW of Dh?rchula, India"
332,2022-05-09T22:08:05.153Z,10.179,93.8413,10.0,4.6,"203 km SE of Port Blair, India"
333,2022-05-09T22:06:30.273Z,9.7019,93.498,10.0,4.5,"232 km SSE of Port Blair, India"
334,2022-05-09T17:16:16.683Z,13.4647,94.0795,10.0,4.2,"245 km NE of Bamboo Flat, India"
335,2022-05-09T16:10:23.667Z,10.3663,94.152,10.0,4.3,"210 km SE of Port Blair, India"
337,2022-05-04T20:36:17.083Z,10.3401,92.4602,30.51,4.6,"149 km SSW of Port Blair, India"
339,2022-05-01T13:52:59.667Z,35.9168,77.9188,10.0,4.4,"149 km NE of Thang, India"
340,2022-04-30T17:34:05.382Z,13.1672,93.0378,42.04,4.5,"166 km NNE of Bamboo Flat, India"
344,2022-04-22T03:51:27.747Z,13.9992,92.9511,10.0,4.9,"255 km N of Bamboo Flat, India"
346,2022-04-17T22:31:39.157Z,25.9974,95.9133,79.64,4.3,"92 km WSW of Sarupathar, India"
362,2022-04-09T11:22:33.744Z,30.9544,78.2383,10.0,4.3,"16 km N of Barkot, India"
370,2022-03-30T10:14:41.835Z,35.9287,78.0076,10.0,4.3,"156 km NE of Thang, India"
371,2022-03-29T01:59:33.433Z,35.9605,77.9296,10.0,4.3,"154 km NE of Thang, India"
